"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.154731746405362,0.054025069511223,2.86407306469488,0.00650209331551467,1.16734477466832,1.05005506973771,1.29773557808337
"Age_group>= 65",0.706662765557888,0.142319942399632,4.96531093002828,1.19138085791705e-05,2.02721466679063,1.53374994081508,2.67944545319237
"GenderMale",-1.96636742373868,0.11468754992027,-17.1454305642215,1.41699757948999e-20,0.139964365104715,0.11178755698117,0.175243327863993
"RaceNon_hispanic_black ",-0.898790191940198,0.225384700382302,-3.98780480847037,0.000261110987053514,0.407061828646749,0.261703209706466,0.633157432524762
"RaceNon_hispanic_white",-0.0512568135682966,0.179225323817467,-0.285990910639947,0.776290974993231,0.950034657410453,0.668620631138417,1.34989231299109
"RaceOther",-0.0840605293731945,0.360430783831375,-0.233222391493956,0.816721662564988,0.919375605181772,0.453615722450322,1.86336465331824
"RaceOther_hispanic",0.0453479424177305,0.250046274102882,0.181358200918731,0.856958829926555,1.04639188069677,0.640989146191162,1.7081973610542
"PIRPoor",-0.0316478543741314,0.137373414029578,-0.230378305712904,0.818916285824278,0.968847697493327,0.740151972317734,1.26820693052908
"PIRRich",-0.233778550917679,0.0906548685383276,-2.5787754666352,0.0135092119610906,0.791537081649002,0.662680640585895,0.945449305824725
"Marital_statusunMarried",0.170137066953571,0.107368772589921,1.5846047491237,0.120557843981287,1.18546732858027,0.96049574446697,1.46313275746071
"BMI",-0.0527133034472632,0.0112191115733236,-4.69852742819699,2.81562771107477e-05,0.948651948742293,0.928019287812721,0.96974333580248
"StrokeYes",0.176973168464347,0.171982829311501,1.02901649643062,0.309361734519418,1.19359906660157,0.852047351357733,1.6720652080215
"HypertensionYes",0.0309649705688863,0.106194084351337,0.291588469904223,0.772036650437054,1.03144937216896,0.837632821719355,1.27011236876316
"DiabetesYes",-0.217339212478542,0.142782987297061,-1.52216462614251,0.13546206145505,0.804656973319501,0.608235055321568,1.06451089763215
"TG",-0.153047921146557,0.0537413252242691,-2.84786280405013,0.00678522311507091,0.858088600236534,0.772300992267737,0.953405541657822
"TC",-0.00171428742591347,0.00118537231032128,-1.44620167941061,0.155542478158778,0.998287181125483,0.99597052306262,1.00060922780624
"HbA1C",-0.0110907422800731,0.0715654702989903,-0.15497337240624,0.877584688510435,0.988970533262461,0.859539013670463,1.1378921725552
"MAGN",-0.000604849321684236,0.000890373374824712,-0.679320989133703,0.500661360317326,0.999395333562792,0.997652777907673,1.00114093286223
"CALC",-0.000150809034100209,0.000226904187007719,-0.664637511052536,0.509915352560362,0.999849202337011,0.999404636058851,1.00029396637208
"PHOS",0.000203055302762986,0.000272516035212666,0.745113228307926,0.460352776725997,1.00020307591989,0.999668978673399,1.0007374585207
