"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDSMedium",0.349892222850336,0.121368851822406,2.88288319116934,0.005795254217552,1.41891461377928,1.11852323297431,1.79997931365511
"MDSHigh",0.328244623247613,0.124418106212125,2.63823838218511,0.0110799531892305,1.38852859712249,1.08804785851481,1.77199159939406
"Age_group>= 65",0.741529677975001,0.139685531328244,5.3085646804213,2.53998160555746e-06,2.09914407429389,1.59639192603457,2.76022809485678
"GenderMale",-1.9171284112659,0.109966943267804,-17.4336791975484,6.81098692425275e-23,0.147028562072256,0.118521177644983,0.182392703941803
"RaceNon_hispanic_black ",-0.764420309940932,0.208850174639648,-3.66013727907994,0.000607251240469419,0.465603758628895,0.309200095862598,0.701121580976771
"RaceNon_hispanic_white",0.0093837552542623,0.171506226219176,0.054713787721446,0.956584526063268,1.00942792072349,0.721250730644294,1.4127468907046
"RaceOther",-0.0741519982477371,0.345750708843087,-0.214466655747016,0.831055458750351,0.928530548098325,0.471506030206919,1.82854284678695
"RaceOther_hispanic",0.0538774533103409,0.250843269562795,0.214785325531142,0.830808336687127,1.05535526393625,0.645470768331178,1.7255231185721
"PIRPoor",-0.0035328364303165,0.131986363761602,-0.026766677478119,0.978752379219503,0.996473396693942,0.769337049698681,1.29066867468253
"PIRRich",-0.220587314709944,0.0903070615779717,-2.44263638806902,0.0181569845434739,0.802047605250179,0.671938033071024,0.957350721981758
"Marital_statusunMarried",0.139991305859896,0.111512441163639,1.25538733076846,0.215173664198314,1.15026379825914,0.92443450087975,1.43126073759296
"BMI",-0.0572045391079295,0.0109894933703431,-5.20538455961082,3.64349852260431e-06,0.944400882696008,0.924276558753017,0.964963374642208
