"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDSMedium",0.342397736717271,0.124133692143068,2.75829817679673,0.00864054505997653,1.40832032683827,1.10417196388873,1.79624751202768
"MDSHigh",0.303813098162904,0.134010361989096,2.26708661668733,0.0287245316245638,1.35501577748318,1.04201130089837,1.76204207732238
"Age_group>= 65",0.711920346341524,0.141375963013532,5.03565338241678,9.99992687164569e-06,2.0379009791262,1.54469033344738,2.6885909174138
"GenderMale",-1.96051639209749,0.114620938269624,-17.1043477892822,2.86425936853386e-20,0.140785701523093,0.112458228208021,0.176248675345357
"RaceNon_hispanic_black ",-0.878560043511182,0.225597692925752,-3.8943662593231,0.000355608359941296,0.415380611254121,0.266939958167963,0.646366521483012
"RaceNon_hispanic_white",-0.037736093562823,0.179432382607091,-0.210308156278875,0.834468853584839,0.962967040561249,0.677447267319201,1.36882317774611
"RaceOther",-0.0814172040655758,0.36006316637996,-0.226119224813069,0.822232189984126,0.921809028734292,0.455144189528714,1.86695096851819
"RaceOther_hispanic",0.0451645669044837,0.252257606104591,0.179041447359798,0.858787010458873,1.04620001564081,0.638099953448898,1.71530254282408
"PIRPoor",-0.0278126688935246,0.138292373910301,-0.201114986366235,0.841603092289,0.972570542452974,0.741658991414756,1.27537516701972
"PIRRich",-0.239084591038331,0.0906147651239469,-2.63847277771234,0.0117181955709415,0.787348276947341,0.659225557485362,0.940372080804396
"Marital_statusunMarried",0.168096510505963,0.108414258180619,1.55050187426373,0.128706701995818,1.1830507819679,0.956575618688781,1.46314533359461
"BMI",-0.0525645819528533,0.0112114352708999,-4.68847927876714,3.0368840428264e-05,0.948793044169486,0.928171279236447,0.969872975820744
"StrokeYes",0.186806707274113,0.172538170347572,1.082697856931,0.285269195043197,1.20539426858651,0.859531241288802,1.69042761094127
"HypertensionYes",0.0279858765004554,0.105782239271063,0.264561203216192,0.79267297696725,1.02838115997801,0.83581555981344,1.26531242183835
"DiabetesYes",-0.204639573207207,0.144220363609258,-1.41893674433969,0.163475270354138,0.814940990051671,0.614275664945073,1.08115762216591
"TG",-0.152367751498369,0.0539573749720251,-2.82385404362919,0.00729220016199313,0.858672444591967,0.772499276760113,0.954458326736411
"TC",-0.00174315898578808,0.00117895157005732,-1.47856708456933,0.14689826869897,0.998258359433427,0.995954301913484,1.00056774719899
"HbA1C",-0.0147787284795769,0.0713787184750299,-0.207046705170909,0.83699827637064,0.98532994093758,0.856688403206023,1.13328847323567
"MAGN",-0.000624207413965505,0.000891584867441248,-0.700109924203753,0.48781250975527,0.999375987362953,0.997631096536741,1.00112393006275
"CALC",-0.000142616868713751,0.000226578246664671,-0.629437604064522,0.532554547866813,0.999857393300588,0.999413461848616,1.00030152194335
"PHOS",0.000198238247137127,0.000270953356992731,0.731632371480252,0.468554367303659,1.00019825789764,0.999667225049302,1.00072957283573
