"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.387559215766789,0.0628901048329383,6.1624832204733,2.31838077042319e-07,1.47338019837408,1.30251187318674,1.6666636624583
"Age_group>= 65",1.46289267337501,0.126493206597746,11.564990031655,1.22876357433987e-14,4.31843329539572,3.3701794373237,5.53349353457322
"GenderMale",-1.8556047336268,0.096628844965301,-19.2034245498137,2.05429644272578e-22,0.156358358921378,0.12938054321698,0.188961460484716
"RaceNon_hispanic_black ",-0.167123560100582,0.189987914083672,-0.879653639583515,0.384052470138129,0.846095061287339,0.583039774157179,1.22783536298132
"RaceNon_hispanic_white",0.538692149860718,0.167758083844022,3.21112483832125,0.00253700626396267,1.71376404932239,1.23353780555239,2.38094625355617
"RaceOther",0.395383416695666,0.342333331401006,1.15496617018726,0.254633226852972,1.48495343772489,0.759124174007235,2.90477735753142
"RaceOther_hispanic",0.269164069177537,0.205435757508556,1.31021041537195,0.19724528838285,1.30886986863375,0.875036205698667,1.95779365683443
"PIRPoor",0.285398742475044,0.142368810561723,2.00464372322132,0.0514757645820506,1.33029236645097,1.00637611520104,1.75846560098874
"PIRRich",-0.166892300796582,0.0977484101404069,-1.7073658851009,0.0951375355602956,0.846290751269023,0.698738170151574,1.02500201975244
"Marital_statusunMarried",-0.256648594222059,0.103676101951619,-2.47548460436741,0.0174227998408356,0.773640027579917,0.631375974936368,0.947959561391572
"BMI",-0.048709499524451,0.00988735967241465,-4.9264415514638,1.35126775181215e-05,0.952457778950915,0.93417758547744,0.971095683290742
"StrokeYes",0.216263074842492,0.210777623065896,1.02602482985056,0.31075312072288,1.24142892476465,0.821304732236912,1.87646036209341
"HypertensionYes",0.252624685756546,0.118721202484991,2.12788179759622,0.0392595262432931,1.2874000065917,1.0201310800434,1.62469197282158
"DiabetesYes",-0.163605012941602,0.199971263641921,-0.818142616904005,0.417893400068452,0.849077330211634,0.573757360070676,1.2565107880978
"TG",-0.0397277403282466,0.0486306162566333,-0.816928580929255,0.418579152880413,0.961051058982299,0.873677689033326,1.05716232606664
"TC",6.293437041616e-05,0.00126911548076448,0.0495891598282688,0.960684865030554,1.00006293635083,0.997578404831821,1.00255365575124
"HbA1C",0.174128004025646,0.0407731664972109,4.27065197493448,0.00010905364927459,1.1902079074735,1.09879332201069,1.28922776889487
"MAGN",0.000935697322529367,0.000764228587314294,1.22436838671223,0.227636787565423,1.00093613522384,0.99943796729098,1.00243654892605
"CALC",-0.000103426327084177,0.000147796646418712,-0.69978805061089,0.487917761137401,0.999896579021234,0.999606969502665,1.00018627244645
"PHOS",-0.000464012829501764,0.000217890237334505,-2.12957145385734,0.039111459863659,0.999536094807802,0.999109319197156,0.999963052718241
