"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDSMedium",0.635152508945325,0.106953121138869,5.93860657998595,2.7262001793148e-07,1.88730995116156,1.53039273424312,2.32746717365659
"MDSHigh",0.619587837896149,0.17595942898182,3.52119713891641,0.000926979575367334,1.85816202002713,1.31614545787043,2.62339247689082
"Age_group>= 65",1.72139173279568,0.110357652631699,15.5982996352826,7.59203958478696e-21,5.59230604659098,4.50456232707242,6.94271377505024
"GenderMale",-1.92598988954091,0.101276276865178,-19.0171869381104,1.54245800494499e-24,0.145731427417129,0.119493728256549,0.177730239460246
"RaceNon_hispanic_black ",0.0676328367741664,0.185429616328723,0.36473589339833,0.716846750003644,1.06997238183781,0.743929347846539,1.53891078663541
"RaceNon_hispanic_white",0.607879616462544,0.161784981960402,3.75733031024676,0.000449670866774446,1.83653311273319,1.33747171489206,2.52181323657948
"RaceOther",0.487551130012967,0.338582073735897,1.43997915965648,0.156105590934779,1.6283237802331,0.83855950476245,3.16189646437043
"RaceOther_hispanic",0.32928563872263,0.199702688488497,1.64887934766886,0.105442349004017,1.38997482952414,0.939759177477001,2.05587779615799
"PIRPoor",0.319704150745413,0.14070344374445,2.27218426384837,0.0274095481888581,1.37672040237524,1.04490440316392,1.81390666990894
"PIRRich",-0.202475036867302,0.0979988826537312,-2.06609536133923,0.0440198269487683,0.816706869905613,0.673981344747797,0.989656637455771
"Marital_statusunMarried",-0.290942343644262,0.101966016592983,-2.85332656276663,0.00627804760696513,0.747558778290433,0.612139099110875,0.912936500561391
"BMI",-0.0406082860402223,0.00923977364662655,-4.39494381499794,5.77744455335704e-05,0.960205182064624,0.942972421388573,0.977752870339598
