"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.432756866859494,0.0584524741324948,7.40356799745653,1.25556799230706e-09,1.54150138506215,1.37463744166462,1.72862054249812
"Age_group>= 65",1.5926009315081,0.11827683483048,13.4650283277422,2.02313653594372e-18,4.91651984436163,3.89922702681964,6.1992203105233
"GenderMale",-1.96279359771969,0.100522777706419,-19.5258591386333,2.53373076248758e-25,0.140465468288906,0.115346084203667,0.171055202418344
"RaceNon_hispanic_black ",-0.0492480814488541,0.187573952689975,-0.262552879771383,0.793952920771147,0.951944940522566,0.659091420025354,1.37492181244242
"RaceNon_hispanic_white",0.507464827656906,0.165443794373979,3.06729442211536,0.00345275023688825,1.66107474174133,1.2010485785333,2.29730033153238
"RaceOther",0.452146949511715,0.34010929831077,1.32941660741828,0.189626830424241,1.5716828896421,0.806971219289807,3.06105973366396
"RaceOther_hispanic",0.307001658395105,0.201768355595287,1.52155504013175,0.13429716479453,1.35934322239826,0.915335770641027,2.01872805100364
"PIRPoor",0.306635147510241,0.140651991373966,2.18009815939938,0.0338903430362597,1.35884509960027,1.03144140306551,1.79017440953977
"PIRRich",-0.199360991562791,0.0976132462032989,-2.04235592316623,0.046302696004048,0.819254096129506,0.676594633578038,0.991993197574718
"Marital_statusunMarried",-0.276172669860227,0.103425717859791,-2.67025141884556,0.0101436800200484,0.758681917949856,0.619472433512284,0.929174926090811
"BMI",-0.0429577372189633,0.00944010949591571,-4.55055497370546,3.33864113220396e-05,0.957951874921857,0.940390229751097,0.975841481157446
